timestamp,position,gain,movement_description
3224,97.21,-255,Shoulder 0 to 90 degrees PID
3234,97.56,-255,Shoulder 0 to 90 degrees PID
3244,97.82,-255,Shoulder 0 to 90 degrees PID
3254,98.17,-255,Shoulder 0 to 90 degrees PID
3264,99.14,-255,Shoulder 0 to 90 degrees PID
3275,99.58,-255,Shoulder 0 to 90 degrees PID
3285,99.93,-255,Shoulder 0 to 90 degrees PID
3295,100.28,-255,Shoulder 0 to 90 degrees PID
3306,100.72,-255,Shoulder 0 to 90 degrees PID
3316,100.99,-255,Shoulder 0 to 90 degrees PID
3326,101.87,-255,Shoulder 0 to 90 degrees PID
3336,102.22,-255,Shoulder 0 to 90 degrees PID
3347,102.66,-255,Shoulder 0 to 90 degrees PID
3357,103.01,-255,Shoulder 0 to 90 degrees PID
3367,103.27,-255,Shoulder 0 to 90 degrees PID
3377,104.15,-255,Shoulder 0 to 90 degrees PID
3387,104.5,-255,Shoulder 0 to 90 degrees PID
3398,104.94,-255,Shoulder 0 to 90 degrees PID
3408,105.29,-255,Shoulder 0 to 90 degrees PID
3418,105.56,-255,Shoulder 0 to 90 degrees PID
3429,106.35,-255,Shoulder 0 to 90 degrees PID
3439,106.79,-255,Shoulder 0 to 90 degrees PID
3450,107.31,-255,Shoulder 0 to 90 degrees PID
3460,107.67,-255,Shoulder 0 to 90 degrees PID
3471,108.02,-255,Shoulder 0 to 90 degrees PID
3481,108.81,-255,Shoulder 0 to 90 degrees PID
3492,109.25,-255,Shoulder 0 to 90 degrees PID
3502,109.6,-255,Shoulder 0 to 90 degrees PID
3513,109.95,-255,Shoulder 0 to 90 degrees PID
3524,110.3,-255,Shoulder 0 to 90 degrees PID
3534,111.18,-255,Shoulder 0 to 90 degrees PID
3545,111.53,-255,Shoulder 0 to 90 degrees PID
3555,111.97,-255,Shoulder 0 to 90 degrees PID
3565,112.32,-255,Shoulder 0 to 90 degrees PID
3576,112.76,-255,Shoulder 0 to 90 degrees PID
3586,113.47,-255,Shoulder 0 to 90 degrees PID
3597,113.99,-255,Shoulder 0 to 90 degrees PID
3607,114.43,-255,Shoulder 0 to 90 degrees PID
3617,114.79,-255,Shoulder 0 to 90 degrees PID
3628,115.14,-255,Shoulder 0 to 90 degrees PID
3638,115.49,-255,Shoulder 0 to 90 degrees PID
3648,116.37,-255,Shoulder 0 to 90 degrees PID
3659,116.72,-255,Shoulder 0 to 90 degrees PID
3669,117.25,-255,Shoulder 0 to 90 degrees PID
3679,117.6,-255,Shoulder 0 to 90 degrees PID
3689,117.95,-255,Shoulder 0 to 90 degrees PID
3699,118.74,-255,Shoulder 0 to 90 degrees PID
3709,119.09,-255,Shoulder 0 to 90 degrees PID
3720,119.53,-255,Shoulder 0 to 90 degrees PID
3730,119.88,-255,Shoulder 0 to 90 degrees PID
3741,120.23,-255,Shoulder 0 to 90 degrees PID
3751,121.11,-255,Shoulder 0 to 90 degrees PID
3761,121.46,-255,Shoulder 0 to 90 degrees PID
3771,121.82,-255,Shoulder 0 to 90 degrees PID
3782,122.34,-255,Shoulder 0 to 90 degrees PID
3792,122.87,-255,Shoulder 0 to 90 degrees PID
3802,123.66,-255,Shoulder 0 to 90 degrees PID
3812,123.93,-255,Shoulder 0 to 90 degrees PID
3822,124.45,-255,Shoulder 0 to 90 degrees PID
3832,124.89,-255,Shoulder 0 to 90 degrees PID
3842,125.24,-255,Shoulder 0 to 90 degrees PID
3853,125.68,-255,Shoulder 0 to 90 degrees PID
3863,126.39,-255,Shoulder 0 to 90 degrees PID
3874,126.83,-255,Shoulder 0 to 90 degrees PID
3884,127.18,-255,Shoulder 0 to 90 degrees PID
3894,127.62,-255,Shoulder 0 to 90 degrees PID
3905,127.97,-255,Shoulder 0 to 90 degrees PID
3915,128.85,-255,Shoulder 0 to 90 degrees PID
3926,129.29,-255,Shoulder 0 to 90 degrees PID
3936,129.73,-255,Shoulder 0 to 90 degrees PID
3947,130.25,-255,Shoulder 0 to 90 degrees PID
3957,130.43,-255,Shoulder 0 to 90 degrees PID
3968,131.31,-255,Shoulder 0 to 90 degrees PID
3978,131.75,-255,Shoulder 0 to 90 degrees PID
3989,132.1,-255,Shoulder 0 to 90 degrees PID
3999,132.63,-255,Shoulder 0 to 90 degrees PID
4009,132.98,-255,Shoulder 0 to 90 degrees PID
4019,133.33,-255,Shoulder 0 to 90 degrees PID
4030,134.21,-255,Shoulder 0 to 90 degrees PID
4041,134.56,-255,Shoulder 0 to 90 degrees PID
4051,135.0,-255,Shoulder 0 to 90 degrees PID
4062,135.44,-255,Shoulder 0 to 90 degrees PID
4072,135.79,-255,Shoulder 0 to 90 degrees PID
4083,136.76,-255,Shoulder 0 to 90 degrees PID
4093,137.2,-255,Shoulder 0 to 90 degrees PID
4103,137.64,-255,Shoulder 0 to 90 degrees PID
4113,137.99,-255,Shoulder 0 to 90 degrees PID
4123,138.43,-255,Shoulder 0 to 90 degrees PID
